Port Blair,Port Blair H.O,744101,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Delanipur,Haddo S.O,744102,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Port Blair,Radio Colony B.O,744102,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Prem Nagar,Haddo S.O,744102,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Port Blair,Haddo S.O,744102,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
AIR Complex,Radio Colony B.O,744102,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Anarkali Basti,Haddo S.O,744102,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Buniyadabad,Haddo S.O,744102,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Chatham,Haddo S.O,744102,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Lillypur,Haddo S.O,744102,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Crakabad,Chouldari B.O,744103,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Guptapara (RV),Guptapara B.O,744103,Ferrargunj,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Hobdipur (RV),Tushnabad B.O,744103,Ferrargunj,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
kamrajnagar,Brijgunj B.O,744103,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Manjeri (RV) & Line Dera (FC),Guptapara B.O,744103,Ferrargunj,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Tirur III (JPPC),Herbertabad B.O,744103,Ferrargunj,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
10 No Basti,Chouldari B.O,744103,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Badmas Pahar,Chouldari B.O,744103,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Chouldari (RV),Chouldari B.O,744103,Ferrargunj,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Dhanikhari (RV),Guptapara B.O,744103,Ferrargunj,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Nayashahar (EFA),Guptapara B.O,744103,Ferrargunj,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Port Mourt,Chouldari B.O,744103,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Tirur (RV),Herbertabad B.O,744103,Ferrargunj,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Tusnabad (RV),Tushnabad B.O,744103,Ferrargunj,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Dhanikhadi village,Chouldari B.O,744103,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Dollygunj (RV),School Line B.O,744103,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Goalghar part,Junglighat S.O,744103,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Guptapara I II III,Guptapara B.O,744103,Ferrargunj,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Herbertabad (RV),Herbertabad B.O,744103,Ferrargunj,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Lall Pahar,Chouldari B.O,744103,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Maymyo (RV),Wandoor B.O,744103,Ferrargunj,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Muslim Basti (RV),Tushnabad B.O,744103,Ferrargunj,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Pongi Balu (FC) & Bada Balu (EFA),Guptapara B.O,744103,Ferrargunj,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Port Mourt Jetty,Chouldari B.O,744103,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Tirur (JA),Herbertabad B.O,744103,Ferrargunj,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
V I P Road,Junglighat S.O,744103,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Wandur (RV),Wandoor B.O,744103,Ferrargunj,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Austinabad,Brijgunj B.O,744103,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Bloosmbad,Chouldari B.O,744103,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Flat Bay (RV),Ograbanj B.O,744103,Ferrargunj,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Hashmatabad (RV),Wandoor B.O,744103,Ferrargunj,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Maymyo (EFA),Wandoor B.O,744103,Ferrargunj,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Mohwa Dera (RV),Tushnabad B.O,744103,Ferrargunj,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Port Blair,Junglighat S.O,744103,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Tirur I (JPPC),Herbertabad B.O,744103,Ferrargunj,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Tirur IV (JPPC),Herbertabad B.O,744103,Ferrargunj,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Anjali Nallaha (JPPC),Tushnabad B.O,744103,Ferrargunj,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Colinpur (RV),Herbertabad B.O,744103,Ferrargunj,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Craikabad (RV),Ograbanj B.O,744103,Ferrargunj,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Hashmatabad (EFA),Wandoor B.O,744103,Ferrargunj,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Mithakhari (RV),Ograbanj B.O,744103,Ferrargunj,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Nimbu Bagicha,Chouldari B.O,744103,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
prothrapur,Brijgunj B.O,744103,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Brichgunj (RV),Brijgunj B.O,744103,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
calicut,Brijgunj B.O,744103,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Cinque Island (WLS),Wandoor B.O,744103,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Lamba Lane,Junglighat S.O,744103,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Manpur (RV),Herbertabad B.O,744103,Ferrargunj,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Naya Basti,Chouldari B.O,744103,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Pahargaon part (RV),School Line B.O,744103,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Ranchi Basti,Junglighat S.O,744103,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Bachara Pahar,Chouldari B.O,744103,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Junglighat Basti,Junglighat S.O,744103,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Minnie Bay part (RV),School Line B.O,744103,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Sunami Shellter,Chouldari B.O,744103,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Brookshabad part (RV),Brijgunj B.O,744103,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Dairy Farm,Junglighat S.O,744103,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Deen Street,Junglighat S.O,744103,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Lohabarrack,Chouldari B.O,744103,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Manglutan,Guptapara B.O,744103,Ferrargunj,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Ograbraij (RV),Ograbanj B.O,744103,Ferrargunj,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
School Line part (RV),School Line B.O,744103,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Temple Myo (RV),Herbertabad B.O,744103,Ferrargunj,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Lakshmanpur (RV),Neil Island B.O,744104,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Marine Hill,Aberdeen Bazar S.O,744104,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
