Bhilai-1,Bhilai 1 S.O,490001,Durg,DURG,CHATTISGARH
Bhilai Nagar,Civic Centre Bhilai S.O,490006,Durg,DURG,CHATTISGARH
Bhilai-West,Bhilai West S.O,490009,Durg,DURG,CHATTISGARH
Khursipar,Khursipar Bhilai S.O,490011,Durg,DURG,CHATTISGARH
Moti Lal Nehru Nagar,Motilal Nehru Nagr Bhilai S.O,490020,Durg,DURG,CHATTISGARH
Aouri BO,Auri B.O,490021,Durg,DURG,CHATTISGARH
Nardhi,Aundhi B.O,490021,Patan,DURG,CHATTISGARH
Ghughuwa,Auri B.O,490021,Durg,DURG,CHATTISGARH
Ghughuwa,Bhilai East S.O,490021,Durg,DURG,CHATTISGARH
Aouri,Auri B.O,490021,Durg,DURG,CHATTISGARH
Aouri BO,Bhilai East S.O,490021,Durg,DURG,CHATTISGARH
Auri,Aundhi B.O,490021,Patan,DURG,CHATTISGARH
Sirsa Kala,Bhilai East S.O,490021,Durg,DURG,CHATTISGARH
Aoundhi,Bhilai East S.O,490021,Durg,DURG,CHATTISGARH
Karasa,Bhilai East S.O,490021,Durg,DURG,CHATTISGARH
Sirsa Kala,Sirsakala B.O,490021,Durg,DURG,CHATTISGARH
Bhilai-East,Bhilai East S.O,490021,Durg,DURG,CHATTISGARH
Karasa,Auri B.O,490021,Durg,DURG,CHATTISGARH
Nardhi,Bhilai East S.O,490021,Durg,DURG,CHATTISGARH
Saf Line Bhilai,S A F Lines Bhilai S.O,490022,Durg,DURG,CHATTISGARH
Supela,Supela Bhilai S.O,490023,Durg,DURG,CHATTISGARH
Aklordih,Surdung B.O,490024,Durg,DURG,CHATTISGARH
Kachandur,Karanja Bhilai B.O,490024,Durg,DURG,CHATTISGARH
Khedamara,Jamul Cement Works S.O,490024,Durg,DURG,CHATTISGARH
Kurud,Kurud B.O,490024,Durg,DURG,CHATTISGARH
CSPTCL,Dhaur B.O,490024,Durg,DURG,CHATTISGARH
Semariya,Nardha B.O,490024,Durg,DURG,CHATTISGARH
Umda,Surdung B.O,490024,Durg,DURG,CHATTISGARH
Sunder Vihar,Kurud B.O,490024,Durg,DURG,CHATTISGARH
Aheri,Dhaur B.O,490024,Durg,DURG,CHATTISGARH
Gokul Nagar,Kurud B.O,490024,Durg,DURG,CHATTISGARH
Khedamara,Dhaur B.O,490024,Durg,DURG,CHATTISGARH
Nardha,Nardha B.O,490024,Durg,DURG,CHATTISGARH
