Tiswadi,Panaji H.O,403001,Tiswadi,NORTH GOA,GOA
Tiswadi,Caranzalem S.O,403002,Tiswadi,NORTH GOA,GOA
Tiswadi,Nio Dona Paula S.O,403004,Tiswadi,NORTH GOA,GOA
Tiswadi,Santa Cruz S.O,403005,Tiswadi,NORTH GOA,GOA
Tiswadi,Chimbel B.O,403006,Tiswadi,NORTH GOA,GOA
Tiswadi,Ribandar S.O,403006,Tiswadi,NORTH GOA,GOA
Bardez,Penha De France B.O,403101,Bardez,NORTH GOA,GOA
Azossim,Betim S.O,403101,Tiswadi,NORTH GOA,GOA
Salvador do Mundo,Salvador De Mond B.O,403101,Bardez,NORTH GOA,GOA
Bardez,Betim S.O,403101,Bardez,NORTH GOA,GOA
Caraim,Chorao S.O,403102,Tiswadi,NORTH GOA,GOA
Tiswadi,Chorao S.O,403102,Tiswadi,NORTH GOA,GOA
Ambarim,Chorao S.O,403102,Tiswadi,NORTH GOA,GOA
Ponda,Tarvalem B.O,403103,Ponda,NORTH GOA,GOA
Ponda,Shiroda S.O (North Goa),403103,Ponda,NORTH GOA,GOA
Neura-O-Pequeno,Neura S.O,403104,Tiswadi,NORTH GOA,GOA
Naroa,Neura S.O,403104,Tiswadi,NORTH GOA,GOA
Tiswadi,Neura S.O,403104,Tiswadi,NORTH GOA,GOA
Mandur,Mandur B.O,403104,Tiswadi,NORTH GOA,GOA
Neura-O-Grande,Neura S.O,403104,Tiswadi,NORTH GOA,GOA
Satari,Velguem B.O,403105,Satari,NORTH GOA,GOA
Satari,Pale S.O,403105,Satari,NORTH GOA,GOA
Jua,Sant Estevam S.O,403106,Tiswadi,NORTH GOA,GOA
Capao,Sant Estevam S.O,403106,Tiswadi,NORTH GOA,GOA
Navelim,Sant Estevam S.O,403106,Tiswadi,NORTH GOA,GOA
Ponda,Sant Estevam S.O,403106,Ponda,NORTH GOA,GOA
Goalim Moula,Marcela S.O,403107,Tiswadi,NORTH GOA,GOA
Betqui,Betki B.O,403107,Ponda,NORTH GOA,GOA
Ponda,Banastrim B.O,403107,Ponda,NORTH GOA,GOA
Tivrem,Marcela S.O,403107,Ponda,NORTH GOA,GOA
Amone,Amona B.O,403107,Bicholim,NORTH GOA,GOA
Volvoi,Marcela S.O,403107,Ponda,NORTH GOA,GOA
Adcolna,Banastrim B.O,403107,Ponda,NORTH GOA,GOA
Boma,Marcela S.O,403107,Ponda,NORTH GOA,GOA
Candola,Marcela S.O,403107,Ponda,NORTH GOA,GOA
Ponda,Marcela S.O,403107,Ponda,NORTH GOA,GOA
Cumbarjua,Cumbharjua B.O,403107,Tiswadi,NORTH GOA,GOA
Goltim,Marcela S.O,403107,Tiswadi,NORTH GOA,GOA
Orgao,Marcela S.O,403107,Ponda,NORTH GOA,GOA
Talaulim,Marcela S.O,403107,Tiswadi,NORTH GOA,GOA
Gandaulim,Goa -velha S.O,403108,Tiswadi,NORTH GOA,GOA
Tiswadi,Goa -velha S.O,403108,Tiswadi,NORTH GOA,GOA
Gancim,Goa -velha S.O,403108,Tiswadi,NORTH GOA,GOA
Siridao,Siridao B.O,403108,Tiswadi,NORTH GOA,GOA
Bardez,N B Verem S.O,403109,Bardez,NORTH GOA,GOA
Corlim,Corlim IE S.O,403110,Tiswadi,NORTH GOA,GOA
Carambolim,Carambolim B.O,403110,Tiswadi,NORTH GOA,GOA
Bardez,Reis Magos S.O,403114,Bardez,NORTH GOA,GOA
Nerul,Nerul B.O,403114,Bardez,NORTH GOA,GOA
Pilerne,Pilerne B.O,403114,Bardez,NORTH GOA,GOA
Boma,Cundaim I.E. S.O,403115,Sanguem,SOUTH GOA,GOA
Ponda,Cundaim I.E. S.O,403115,Ponda,NORTH GOA,GOA
Cundaim,Cundiam B.O,403115,Ponda,NORTH GOA,GOA
Tiswadi,Bambolim Camp S.O,403201,Tiswadi,NORTH GOA,GOA
Tiswadi,Bambolim Complex S.O,403202,Tiswadi,NORTH GOA,GOA
Tiswadi,Pilar S.O (North Goa),403203,Tiswadi,NORTH GOA,GOA
Ponda,St. Lourence S.O,403204,Ponda,NORTH GOA,GOA
Tiswadi,Goa University S.O,403206,Tiswadi,NORTH GOA,GOA
Durbhat,Durbhat B.O,403401,Ponda,NORTH GOA,GOA
Querim,Querim B.O,403401,Ponda,NORTH GOA,GOA
Vadi,Durbhat B.O,403401,Ponda,NORTH GOA,GOA
Betora,Betora B.O,403401,Ponda,NORTH GOA,GOA
Borim,Borim B.O,403401,Ponda,NORTH GOA,GOA
Conxem,Nirankal B.O,403401,Ponda,NORTH GOA,GOA
Vagurbem,Verem De Ponda B.O,403401,Ponda,NORTH GOA,GOA
Ponda,Agapur Adpoi B.O,403401,Ponda,NORTH GOA,GOA
Ponda,Quela B.O,403401,Ponda,NORTH GOA,GOA
Nirancal,Nirankal B.O,403401,Ponda,NORTH GOA,GOA
Ponda,Ponda S.O,403401,Ponda,NORTH GOA,GOA
Savoi-Verem,Verem De Ponda B.O,403401,Ponda,NORTH GOA,GOA
Ponda,Bandora B.O,403401,Ponda,NORTH GOA,GOA
Tiswadi,Velha-goa S.O,403402,Tiswadi,NORTH GOA,GOA
Bainguinim,Velha-goa S.O,403402,Tiswadi,NORTH GOA,GOA
Tiswadi,Piedade S.O,403403,Tiswadi,NORTH GOA,GOA
Malar,Malar B.O,403403,Tiswadi,NORTH GOA,GOA
Marcaim,Marcaim B.O,403404,Ponda,NORTH GOA,GOA
Priol,Priol B.O,403404,Ponda,NORTH GOA,GOA
Velinga,Priol B.O,403404,Ponda,NORTH GOA,GOA
Caranzol,Marcaim B.O,403404,Sanguem,SOUTH GOA,GOA
Cuncoliem,Mardol S.O,403404,Ponda,NORTH GOA,GOA
Salcete,Mardol S.O,403404,Salcete,SOUTH GOA,GOA
Usgao,Usgao B.O,403406,Ponda,NORTH GOA,GOA
Codar,Candepar B.O,403406,Ponda,NORTH GOA,GOA
Ponda,Tisca S.O,403406,Ponda,NORTH GOA,GOA
Ustem,Sancordem B.O,403406,Satari,NORTH GOA,GOA
Patiem,Pillem B.O,403406,Sanguem,SOUTH GOA,GOA
Sancordem,Sancordem B.O,403406,Sanguem,SOUTH GOA,GOA
