Shimla Urban(T),IGMC S.O,171001,Shimla Urban(T),SHIMLA,HIMACHAL PRADESH
Shimla Urban(T),Shimla High Court S.O,171001,Shimla Urban(T),SHIMLA,HIMACHAL PRADESH
Shimla Urban(T),Combermere S.O,171001,Shimla Urban(T),SHIMLA,HIMACHAL PRADESH
Shimla Urban(T),Shimla G.P.O.,171001,Shimla Urban(T),SHIMLA,HIMACHAL PRADESH
Shimla Urban(T),Busstand S.O,171001,Shimla Urban(T),SHIMLA,HIMACHAL PRADESH
Shimla Urban(T),CPRI S.O,171001,Shimla Urban(T),SHIMLA,HIMACHAL PRADESH
Shimla Urban(T),Khalini S.O,171002,Shimla Urban(T),SHIMLA,HIMACHAL PRADESH
Shimla Urban(T),HP.Sectt. S.O,171002,Shimla Urban(T),SHIMLA,HIMACHAL PRADESH
Shimla Urban(T),Shimla East S.O,171002,Shimla Urban(T),SHIMLA,HIMACHAL PRADESH
Malhiana (376),Shimla East S.O,171002,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
BARMU,Bharari B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
GHURKA,Bharari B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
NALA PAR BHARARI,Bharari B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Shangal ka Jubbal,Bhont B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
BALJEE KOTHI,Bharari B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
BHARARI,Bharari B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Bhont,Bhont B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Ghatdu-I,Bhont B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Kyargi,Bhont B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Neri,Bhont B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
POLICE LINE COLONY,Bharari B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Ragyan,Bhont B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Bhawat,Bhont B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Gulchha (19),Bhont B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Kabi (20),Bhont B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
KANENA,Bharari B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
LAURETTE SCHOOL,Bharari B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
POWER PROJECT,Bharari B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Shimla Urban(T),AGPO S.O,171003,Shimla Urban(T),SHIMLA,HIMACHAL PRADESH
Ghatdu-II,Bhont B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
golu,Bharari B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Karandh,Bhont B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
LOWER BHARARI,Bharari B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
METNI,Bharari B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
NALADHAR BHARARI,Bharari B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Odali,Bhont B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
POLICE LINE,Bharari B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
RATTAN COTTAGE,Bharari B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Salech,Bhont B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Bhont (27),Bhont B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
KELTI,Bharari B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
PANCHVATI,Bharari B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Sanohag,Bhont B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
