Jammu,Jammu H.O,180001,Jammu,JAMMU,JAMMU & KASHMIR
Brahamana Dhamwal,Gol Gujral B.O,180002,Jammu,JAMMU,JAMMU & KASHMIR
Chak Bathali,Sangrampur B.O,180002,Jammu,JAMMU,JAMMU & KASHMIR
Chak Laldin,Bhadrod B.O,180002,Jammu,JAMMU,JAMMU & KASHMIR
Ranjit Pur,Gol Gujral B.O,180002,Jammu,JAMMU,JAMMU & KASHMIR
Chak Dai,Bhadrod B.O,180002,Jammu,JAMMU,JAMMU & KASHMIR
Khiyarian,Gol Gujral B.O,180002,Jammu,JAMMU,JAMMU & KASHMIR
Patniyal,Sangrampur B.O,180002,Jammu,JAMMU,JAMMU & KASHMIR
Talab Tillo,Suryavihar B.O,180002,Jammu,JAMMU,JAMMU & KASHMIR
Thera (Un-Inhabited),Talab Tillo S.O,180002,Jammu,JAMMU,JAMMU & KASHMIR
Galali,Gol Gujral B.O,180002,Jammu,JAMMU,JAMMU & KASHMIR
Sair Rakwalan (Sair Ratnalan),Bhadrod B.O,180002,Jammu,JAMMU,JAMMU & KASHMIR
Kokdiyan,Gol Gujral B.O,180002,Jammu,JAMMU,JAMMU & KASHMIR
Sangram Pur,Sangrampur B.O,180002,Jammu,JAMMU,JAMMU & KASHMIR
Tahra,Talab Tillo S.O,180002,Jammu,JAMMU,JAMMU & KASHMIR
Chak Pouni Wand(Brahmana),Talab Tillo S.O,180002,Jammu,JAMMU,JAMMU & KASHMIR
Parwah,Sangrampur B.O,180002,Jammu,JAMMU,JAMMU & KASHMIR
Khar Bujuh,Gol Gujral B.O,180002,Jammu,JAMMU,JAMMU & KASHMIR
Talab Tillo,Talab Tillo S.O,180002,Jammu,JAMMU,JAMMU & KASHMIR
Khanpur Bhawan,Gol Gujral B.O,180002,Jammu,JAMMU,JAMMU & KASHMIR
Trijiad,Gol Gujral B.O,180002,Jammu,JAMMU,JAMMU & KASHMIR
Trilok Pur,Gol Gujral B.O,180002,Jammu,JAMMU,JAMMU & KASHMIR
Aqil Pur,Akalpur B.O,180002,Jammu,JAMMU,JAMMU & KASHMIR
Bhad-Rode,Bhadrod B.O,180002,Jammu,JAMMU,JAMMU & KASHMIR
Chak Puniwan Wazirian,Gol Gujral B.O,180002,Jammu,JAMMU,JAMMU & KASHMIR
Ismail Pur,Sangrampur B.O,180002,Jammu,JAMMU,JAMMU & KASHMIR
Chak Gandu,Mandal B.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
Chak Gasian,Mandal B.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
Dangah,Makwal B.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
Karwal,Sohanjana B.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
Tiko Teda,Sohanjana B.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
Chak Ganeshu,Mandal B.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
Chak Nawade,Mandal B.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
Chak Sardar Attar Singh,Mandal B.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
Kalyan,Mandal B.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
Karpal Pur Charkan,Mandal B.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
Pahlad Pur,Mandal B.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
Sum,Mandal B.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
Alora,Sohanjana B.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
Chak Habib (Un-Inhabited),Mandal B.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
Chak Jogi,Mandal B.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
Dond Pur,Mandal B.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
Hari Pur,Sohanjana B.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
Hari Pur Manhasan,Mandal B.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
Chak Malikhan,Makwal B.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
Chak Panotra,Mandal B.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
Lachman Pur,Mandal B.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
Makwal,Makwal B.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
Mandal,Mandal B.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
Chak Dali,Makwal B.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
Chak Lalushah,Mandal B.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
Chhani Nanak,Mandal B.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
Hakal,Jammu Cantt S.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
Krapalpur Jatan,Mandal B.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
Marar Pur,Mandal B.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
Sapuran Pur,Jammu Cantt S.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
Chak Alam,Makwal B.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
Chak Bindrali,Sohanjana B.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
Chak Sheru,Mandal B.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
Chak Bhopat,Jammu Cantt S.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
Chak Doulat,Jammu Cantt S.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
Chak Surhe,Jammu Cantt S.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
Jammu Cantt,Jammu Cantt S.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
Kanhal,Mandal B.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
Makwal (Un-Inhabited),Makwal B.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
Ram Bagh,Jammu Cantt S.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
Suhanjina,Sohanjana B.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
Thalwal,Mandal B.O,180003,Jammu,JAMMU,JAMMU & KASHMIR
