Ahmadpur,Ahmedpur Khaigaon B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
ambapani,Deola B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Amulla Kalan,Amulla B.O,450001,Burhanpur,EAST NIMAR,MADHYA PRADESH
Badiya Tula,Sihada B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Bagmar,Bagmar B.O,450001,Pandhana,EAST NIMAR,MADHYA PRADESH
Bamangaon(Akhai),Badgaon Gujar B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Dharkadi,Khandwa H.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Digarish,Borgaon Khurd B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Dongargaon,Dongargaon B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Dongargaon,Dongargaon B.O,450001,Pandhana,EAST NIMAR,MADHYA PRADESH
Fathehpur,Khandwa H.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Khadki,Badgaon Gujar B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Khairmal,Amulla B.O,450001,Burhanpur,EAST NIMAR,MADHYA PRADESH
Khandwa,Ghaspura Khandwa S.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Khandwa,Vidhya Nagar Khandwa S.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Madani,Khedi B.O,450001,Harsud,EAST NIMAR,MADHYA PRADESH
Panjhariya,Borgaon Khurd B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Rajoor Mal,Rajur B.O,450001,Harsud,EAST NIMAR,MADHYA PRADESH
Rathiya Tanda,Piplya Tahar B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Saray,Padlya B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Sudama Puri,Sihada B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Tembhi Khurd,Temi Khurd B.O,450001,Pandhana,EAST NIMAR,MADHYA PRADESH
Titgaon,Deola B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Tokar Kheda,Temi Kalan B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Badhani,Kohdar B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Bhilpura,Amulla B.O,450001,Burhanpur,EAST NIMAR,MADHYA PRADESH
Bihar,Kohdar B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Dharampuri,Dharampuri B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Jagatpura,Padlya B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Jamli Gat,Badgaon Gujar B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Jamli Khurd,Bagmar B.O,450001,Pandhana,EAST NIMAR,MADHYA PRADESH
Machhoundi Ryt,Dharampuri B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Manpura,Bhamgarh B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Nagchoon,Khandwa H.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Nisaniya,Temi Kalan B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Rajhola Khurd,Dongargaon B.O,450001,Pandhana,EAST NIMAR,MADHYA PRADESH
Sihada,Sihada B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Badgaon Gujar,Badgaon Gujar B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Bhandariya,Khandwa H.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Birpur Kundeshwar,Khandwa H.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Domada,Temi Kalan B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Khadki,Khandwa H.O,450001,Pandhana,EAST NIMAR,MADHYA PRADESH
Khandwa Taraf Mali,Khandwa H.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Kotwada,Badgaon Mali B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
kundai,Khedi B.O,450001,Harsud,EAST NIMAR,MADHYA PRADESH
Piplya Tahar,Piplya Tahar B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Rajoor,Rajur B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
sagbhara onegram,Dongargaon B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
sagphata railwh,Dongargaon B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Satwada,Badgaon Mali B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Sunderbel,Badgaon Mali B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Takali,Taklikalan B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Takartola,Piplya Tahar B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Takli Fail,Taklikalan B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Tighariya,Badgaon Gujar B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Badgaon Bhila,Piplya Tahar B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Borgaon Khurd,Borgaon Khurd B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Gokulgaon,Piplya Tahar B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Karoli,Khandwa H.O,450001,Pandhana,EAST NIMAR,MADHYA PRADESH
Khalsa Helaghati,Rajur B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Khandwa Taraf Kumbhi,Khandwa H.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Khedi,Khedi B.O,450001,Harsud,EAST NIMAR,MADHYA PRADESH
Malgaon,Temi Kalan B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Pabai Kalan,Taklikalan B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Padlya,Padlya B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Roshnai,Khandwa H.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Sarai,Dharampuri B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Sarola,Temi Khurd B.O,450001,Pandhana,EAST NIMAR,MADHYA PRADESH
Siwana,Bhamgarh B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
tyiiyamal,Dongargaon B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Ahmedpur Khaigaon,Ahmedpur Khaigaon B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Badgaon Bhila Indira Awas,Piplya Tahar B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Badgaon Mali,Badgaon Mali B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Bagmar Railya Station,Bagmar B.O,450001,Pandhana,EAST NIMAR,MADHYA PRADESH
Bawadia,Borgaon Khurd B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Borani,Khandwa H.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
chhenera fal,Dongargaon B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Fulgaon,Khandwa H.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Gona Beda,Padlya B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Gondkheda,Kohdar B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Industries Area,Borgaon Khurd B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Itwa Ryt,Kohdar B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Khandwa,Ganesh Talai Khandwa S.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Kotaghat,Bhamgarh B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Mundwada,Badgaon Mali B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Piparhatti,Taklikalan B.O,450001,Pandhana,EAST NIMAR,MADHYA PRADESH
rai,Khedi B.O,450001,Harsud,EAST NIMAR,MADHYA PRADESH
Rly Station Pail,Sihada B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Segwal,Badgaon Gujar B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
ahamdnagar,Dongargaon B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Amlani,Bhamgarh B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Amulla Khurd,Amulla B.O,450001,Burhanpur,EAST NIMAR,MADHYA PRADESH
Deola Mafi,Deola B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Gitti Khadan,Bhamgarh B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Gondwadi Ryt,Bhamgarh B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Khandwa,Khandwa Ratagarh S.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Machhoundi Ryt,Rajur B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Malgaon Mal,Khedi B.O,450001,Harsud,EAST NIMAR,MADHYA PRADESH
Moghat,Deola B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Ajanti,Deola B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Amalpura,Bhamgarh B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Bhamgarh Nazul,Bhamgarh B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Bhawsinghpura,Bhamgarh B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Bijora Bhil,Piplya Tahar B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Bodul,Khandwa H.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Chhanera,Dongargaon B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Dewla Mafi,Deola B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Kaldakhedi,Khandwa H.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Kalpat,Padlya B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Khandwa,Anand Nagar S.O (East Nimar),450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Kithiya Joshi,Khandwa H.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Kohadad,Kohdar B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Kudikeda,Dharampuri B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Lachhorakalan,Padlya B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Majgaon,Amulla B.O,450001,Burhanpur,EAST NIMAR,MADHYA PRADESH
Mathela,Sihada B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Nahalda,Badgaon Mali B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Sirpur,Borgaon Khurd B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Surgaon Nipani,Piplya Tahar B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Ardala Kalan,Temi Khurd B.O,450001,Pandhana,EAST NIMAR,MADHYA PRADESH
Badgaon Mal.,Khedi B.O,450001,Harsud,EAST NIMAR,MADHYA PRADESH
Dawalirayat,Amulla B.O,450001,Burhanpur,EAST NIMAR,MADHYA PRADESH
Jamli Kalan,Bagmar B.O,450001,Pandhana,EAST NIMAR,MADHYA PRADESH
Kanwani,Bhamgarh B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Khandwa,Khandwa H.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Kohdad Rly Station,Taklikalan B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Ladanpur,Badgaon Gujar B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Lohari,Badgaon Gujar B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Nandiya Khedi,Borgaon Khurd B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Nimkheda Raiyat,Rajur B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Palkana,Badgaon Mali B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Panhali,Temi Kalan B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Pathada,Dharampuri B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Sekhpura,Bagmar B.O,450001,Pandhana,EAST NIMAR,MADHYA PRADESH
Sujapur Kalan,Khandwa H.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Takali Kalan,Taklikalan B.O,450001,Pandhana,EAST NIMAR,MADHYA PRADESH
Tembhikalan,Temi Kalan B.O,450001,Khandwa,EAST NIMAR,MADHYA PRADESH
Dudh Kundiya,Devalikalan B.O,450051,Khandwa,EAST NIMAR,MADHYA PRADESH
Khar Kalan,Kharkalan S.O,450051,Harsud,EAST NIMAR,MADHYA PRADESH
Rajpura,Kharkalan S.O,450051,Pandhana,EAST NIMAR,MADHYA PRADESH
Sedha Bad,Sukva B.O,450051,Khandwa,EAST NIMAR,MADHYA PRADESH
Talia Dhad,Devalikalan B.O,450051,Khandwa,EAST NIMAR,MADHYA PRADESH
Devli Khurd,Devalikalan B.O,450051,Khandwa,EAST NIMAR,MADHYA PRADESH
Fulgaon,Bhagwanpura B.O,450051,Khandwa,EAST NIMAR,MADHYA PRADESH
Nandia,Kharkalan S.O,450051,Pandhana,EAST NIMAR,MADHYA PRADESH
Sukawa,Sukva B.O,450051,Khandwa,EAST NIMAR,MADHYA PRADESH
Sukawa Ryt,Sukva B.O,450051,Harsud,EAST NIMAR,MADHYA PRADESH
Sutarkheda Ryt,Bhagwanpura B.O,450051,Khandwa,EAST NIMAR,MADHYA PRADESH
Bhagwanpura,Bhagwanpura B.O,450051,Khandwa,EAST NIMAR,MADHYA PRADESH
Dewali Kalan,Devalikalan B.O,450051,Harsud,EAST NIMAR,MADHYA PRADESH
Mohnya Kheda,Sukva B.O,450051,Khandwa,EAST NIMAR,MADHYA PRADESH
Bhadhngya,Sirpur B.O,450051,Khandwa,EAST NIMAR,MADHYA PRADESH
Chiptalai,Devalikalan B.O,450051,Khandwa,EAST NIMAR,MADHYA PRADESH
Godadiya,Devalikalan B.O,450051,Khandwa,EAST NIMAR,MADHYA PRADESH
Jamnya Kala,Devalikalan B.O,450051,Khandwa,EAST NIMAR,MADHYA PRADESH
Kharkalan,Kharkalan S.O,450051,Pandhana,EAST NIMAR,MADHYA PRADESH
Manpura,Sukva B.O,450051,Khandwa,EAST NIMAR,MADHYA PRADESH
Puranpura,Bhagwanpura B.O,450051,Khandwa,EAST NIMAR,MADHYA PRADESH
Tedi Jamli,Bhagwanpura B.O,450051,Khandwa,EAST NIMAR,MADHYA PRADESH
Bakhar,Kharkalan S.O,450051,Khandwa,EAST NIMAR,MADHYA PRADESH
Devlikala,Devalikalan B.O,450051,Khandwa,EAST NIMAR,MADHYA PRADESH
Doganliya,Devalikalan B.O,450051,Khandwa,EAST NIMAR,MADHYA PRADESH
