Pilangkata,Pillangkata B.O,781029,Umling,RI BHOI,MEGHALAYA
Riangdim Ranga,Aradanga B.O,781129,Mawshynrut,WEST KHASI HILLS,MEGHALAYA
Ronighat,Aradanga B.O,781129,Mawshynrut,WEST KHASI HILLS,MEGHALAYA
Tynghor,Tyngher B.O,781129,Mawshynrut,WEST KHASI HILLS,MEGHALAYA
Mawkhomlonglieh,Tyngher B.O,781129,Mawshynrut,WEST KHASI HILLS,MEGHALAYA
Rangsapara,Aradanga B.O,781129,Mawshynrut,WEST KHASI HILLS,MEGHALAYA
Umdiangser,Aradanga B.O,781129,Mawshynrut,WEST KHASI HILLS,MEGHALAYA
Wakpangram A,Aradanga B.O,781129,Mawshynrut,WEST KHASI HILLS,MEGHALAYA
Nongmawlein,Tyngher B.O,781129,Mawshynrut,WEST KHASI HILLS,MEGHALAYA
Wakpangram B,Aradanga B.O,781129,Mawshynrut,WEST KHASI HILLS,MEGHALAYA
Mawkohram,Tyngher B.O,781129,Mawshynrut,WEST KHASI HILLS,MEGHALAYA
Umsaitwait,Aradanga B.O,781129,Mawshynrut,WEST KHASI HILLS,MEGHALAYA
Mawbonchithu,Tyngher B.O,781129,Mawshynrut,WEST KHASI HILLS,MEGHALAYA
Mawsngi,Tyngher B.O,781129,Mawshynrut,WEST KHASI HILLS,MEGHALAYA
Porsohlang,Aradanga B.O,781129,Mawshynrut,WEST KHASI HILLS,MEGHALAYA
Salpara,Aradanga B.O,781129,Mawshynrut,WEST KHASI HILLS,MEGHALAYA
Umbyrsit,Aradanga B.O,781129,Mawshynrut,WEST KHASI HILLS,MEGHALAYA
Umla,Aradanga B.O,781129,Mawshynrut,WEST KHASI HILLS,MEGHALAYA
Mawbonriangna,Tyngher B.O,781129,Mawshynrut,WEST KHASI HILLS,MEGHALAYA
Mawroknongnah,Tyngher B.O,781129,Mawshynrut,WEST KHASI HILLS,MEGHALAYA
Rangolpara,Aradanga B.O,781129,Mawshynrut,WEST KHASI HILLS,MEGHALAYA
Waregro,Aradanga B.O,781129,Mawshynrut,WEST KHASI HILLS,MEGHALAYA
Wokalak,Aradanga B.O,781129,Mawshynrut,WEST KHASI HILLS,MEGHALAYA
Megadop,Aradanga B.O,781129,Mawshynrut,WEST KHASI HILLS,MEGHALAYA
Umshek,Aradanga B.O,781129,Mawshynrut,WEST KHASI HILLS,MEGHALAYA
Mawkhrang,Tyngher B.O,781129,Mawshynrut,WEST KHASI HILLS,MEGHALAYA
Pilangku B,Jirang B.O,781131,Umling,RI BHOI,MEGHALAYA
Pynker C,Jirang B.O,781131,Umling,RI BHOI,MEGHALAYA
Pynker B,Jirang B.O,781131,Umling,RI BHOI,MEGHALAYA
Pathar Khmah,Patharkhmah B.O,781131,Umling,RI BHOI,MEGHALAYA
Pynker A,Jirang B.O,781131,Umling,RI BHOI,MEGHALAYA
Pilangku A,Jirang B.O,781131,Umling,RI BHOI,MEGHALAYA
Warmawsaw,Warmawsaw B.O,781131,Umling,RI BHOI,MEGHALAYA
Umlaper,Umlapher B.O,782410,Umsning,RI BHOI,MEGHALAYA
Lower Manikganj,Manikganj B.O,783122,Resubelpara,EAST GARO HILLS,MEGHALAYA
