Bhubaneswar,Bhubaneswar G.P.O.,751001,Khordha,KHORDA,ODISHA
Balabhadrapur,Kuha B.O,751002,Lingaraj,KHORDA,ODISHA
Balisahi,Itipur B.O,751002,Lingaraj,KHORDA,ODISHA
baroda colony,Sisupalgarh B.O,751002,Lingaraj,KHORDA,ODISHA
Dhauli,Gopinathpur B.O,751002,Lingaraj,KHORDA,ODISHA
Dhauli hills,Gopinathpur B.O,751002,Lingaraj,KHORDA,ODISHA
Jayapur,Itipur B.O,751002,Lingaraj,KHORDA,ODISHA
KBS College,Kausalyaganga B.O,751002,Lingaraj,KHORDA,ODISHA
Krushnapur,Gopinathpur B.O,751002,Lingaraj,KHORDA,ODISHA
Raghunathpur nuasahi,Itipur B.O,751002,Lingaraj,KHORDA,ODISHA
Samal sahi,Kausalyaganga B.O,751002,Lingaraj,KHORDA,ODISHA
SarakariBadakalyanpur,Sundarpada B.O,751002,Lingaraj,KHORDA,ODISHA
Suabarei,Kalyanpur Sasan B.O,751002,Pipili,PURI,ODISHA
taila managala sahi,Sisupalgarh B.O,751002,Lingaraj,KHORDA,ODISHA
ADF,Kausalyaganga B.O,751002,Lingaraj,KHORDA,ODISHA
AMS college,Kausalyaganga B.O,751002,Lingaraj,KHORDA,ODISHA
Basuaghai,Bankual B.O,751002,Saheednagar,KHORDA,ODISHA
Bhoisahi,Itipur B.O,751002,Lingaraj,KHORDA,ODISHA
Botanda,Kuha B.O,751002,Lingaraj,KHORDA,ODISHA
Gayatree vihar,Sisupalgarh B.O,751002,Lingaraj,KHORDA,ODISHA
Manik patana,Kausalyaganga B.O,751002,Lingaraj,KHORDA,ODISHA
Nabinapur,Sisupalgarh B.O,751002,Lingaraj,KHORDA,ODISHA
OCA College,Kausalyaganga B.O,751002,Lingaraj,KHORDA,ODISHA
Old Town,Old Town S.O (Khorda),751002,Khordha,KHORDA,ODISHA
Orakal,Kuha B.O,751002,Lingaraj,KHORDA,ODISHA
Prasanti Vihar,Kausalyaganga B.O,751002,Lingaraj,KHORDA,ODISHA
Sri Rama Colony,Kausalyaganga B.O,751002,Lingaraj,KHORDA,ODISHA
