Pondicherry,Pondicherry H.O,605001,Mannadipet Commune Panchayat,PONDICHERRY,PONDICHERRY
Sri Aurobindo ahram,Sri Aurobindo Ashram S.O,605002,Nettapakkam Commune Panchayat,PONDICHERRY,PONDICHERRY
Muthialpet,Muthialpet S.O,605003,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Mudaliyarpet,Mudaliarpet S.O,605004,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Nellithope,Nellithoppe S.O,605005,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Dhanvantry Nagar,Dhanvantry Nagar S.O,605006,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Abishegapakkam,Ariyankuppam S.O,605007,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Ganapathi nagar,Ariyankuppam S.O,605007,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Kalki nagar,Ariyankuppam S.O,605007,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Karikalampakkam,Karikalambakkam B.O,605007,Nettapakkam Commune Panchayat,PONDICHERRY,PONDICHERRY
Korukamedu,Ariyankuppam S.O,605007,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Andiyarpalayampet,Ariyankuppam S.O,605007,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Mathalapattu,Ariyankuppam S.O,605007,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Mettupalayam,Ariyankuppam S.O,605007,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Nallavadu,Nallavadu B.O,605007,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Kamaraj nagar,Ariyankuppam S.O,605007,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Pillayarthittu,Ariyankuppam S.O,605007,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Ariankuppam Commune Panchayat,Ariyankuppam S.O,605007,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Thimmanaickenpalayam,Thimmanaickenpalayam B.O,605007,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Udalapattu,Ariyankuppam S.O,605007,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Andiyarpalayam,Ariyankuppam S.O,605007,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Perungalur,Ariyankuppam S.O,605007,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Theduvarnatham,Ariyankuppam S.O,605007,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Vadapuram keelpathy,Ariyankuppam S.O,605007,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Villupalayam,Ariyankuppam S.O,605007,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Abishegapakkam,Abishegapakkam B.O,605007,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Kasanthittu,Ariyankuppam S.O,605007,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Manavely,Veerampattinam B.O,605007,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Nallavadu,Ariyankuppam S.O,605007,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Perungalur,Karikalambakkam B.O,605007,Villianur Commune Panchayat,PONDICHERRY,PONDICHERRY
Pooranankuppam,Ariyankuppam S.O,605007,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Thanampalayam,Ariyankuppam S.O,605007,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Edayarpalayam,Ariyankuppam S.O,605007,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Karikkan nagar,Ariyankuppam S.O,605007,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Melazhinjipattu,Ariyankuppam S.O,605007,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Nanmedu,Ariyankuppam S.O,605007,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Periyakattupalayam,Ariyankuppam S.O,605007,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Pudukkadai,Ariyankuppam S.O,605007,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Pudukuppam,Ariyankuppam S.O,605007,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Purnankuppam,Pooranankuppam B.O,605007,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Sivanarpuram,Ariyankuppam S.O,605007,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Tavalakuppam,Ariyankuppam S.O,605007,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Thathumedu,Ariyankuppam S.O,605007,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Thimmanaickenpalayam,Ariyankuppam S.O,605007,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Lawspet,Lawspet S.O,605008,Nettapakkam Commune Panchayat,PONDICHERRY,PONDICHERRY
Veemacoundapalayam,Thattanchavady S.O,605009,Nettapakkam Commune Panchayat,PONDICHERRY,PONDICHERRY
Thattanchavady,Thattanchavady S.O,605009,Nettapakkam Commune Panchayat,PONDICHERRY,PONDICHERRY
Muthirapalayam,Thattanchavady S.O,605009,Nettapakkam Commune Panchayat,PONDICHERRY,PONDICHERRY
Mottupalayam,Thattanchavady S.O,605009,Nettapakkam Commune Panchayat,PONDICHERRY,PONDICHERRY
Reddiyarpalayam,Reddiyarpalayam S.O,605010,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
olugarai,Reddiyarpalayam S.O,605010,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Venkatanagar,Venkata Nagar S.O,605011,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Saram(Py),Saram(Py) S.O,605013,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
chinna kozhuvari village,Pondicherry University S.O,605014,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Kazhuperumbakkam,Pondicherry University S.O,605014,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
